pair_id,cluster_id,review_id_a,review_id_b,split_a,split_b,relative_path_a,relative_path_b,original_label_a,original_label_b,reviewed_label_a,reviewed_label_b,corrected_review_ids,resolution,visual_verdict,min_phash_hamming,ordered_matches_h6,ordered_matches_h8
C013,cluster_0022,V052,V055,train,validation,train/Fight/rwf_train_fight_0542.avi,train/NonFight/rwf_train_nonfight_0590.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,9,9
C014,cluster_0066,V099,V098,train,validation,train/NonFight/rwf_train_nonfight_0507.avi,train/Fight/rwf_train_fight_0436.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,9,9
C015,cluster_0008,V019,V026,train,validation,train/Fight/rwf_train_fight_0349.avi,train/NonFight/rwf_train_nonfight_0395.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,9,9
C016,cluster_0008,V019,V025,train,validation,train/Fight/rwf_train_fight_0349.avi,train/NonFight/rwf_train_nonfight_0394.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,9,9
C017,cluster_0012,V032,V030,train,validation,train/NonFight/rwf_train_nonfight_0721.avi,train/Fight/rwf_train_fight_0704.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,9,9
C018,cluster_0012,V032,V031,train,validation,train/NonFight/rwf_train_nonfight_0721.avi,train/Fight/rwf_train_fight_0765.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,8,9
C019,cluster_0007,V017,V012,train,test,val/NonFight/rwf_val_nonfight_0093.avi,val/Fight/rwf_val_fight_0087.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,8,9
C020,cluster_0021,V050,V049,train,validation,train/NonFight/rwf_train_nonfight_0181.avi,train/Fight/rwf_train_fight_0467.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,7,9
C021,cluster_0008,V023,V026,train,validation,train/Fight/rwf_train_fight_0353.avi,train/NonFight/rwf_train_nonfight_0395.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,7,9
C022,cluster_0040,V076,V078,train,validation,train/Fight/rwf_train_fight_0507.avi,train/NonFight/rwf_train_nonfight_0560.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,9
C023,cluster_0004,V007,V006,train,validation,train/NonFight/rwf_train_nonfight_0519.avi,train/Fight/rwf_train_fight_0456.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,7,9
C024,cluster_0008,V023,V025,train,validation,train/Fight/rwf_train_fight_0353.avi,train/NonFight/rwf_train_nonfight_0394.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,7,9
C025,cluster_0007,V016,V018,train,validation,val/Fight/rwf_val_fight_0091.avi,val/NonFight/rwf_val_nonfight_0094.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,6,9
C026,cluster_0008,V021,V026,train,validation,train/Fight/rwf_train_fight_0351.avi,train/NonFight/rwf_train_nonfight_0395.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,7,9
C027,cluster_0008,V021,V025,train,validation,train/Fight/rwf_train_fight_0351.avi,train/NonFight/rwf_train_nonfight_0394.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,6,9
C028,cluster_0049,V083,V081,train,validation,train/NonFight/rwf_train_nonfight_0121.avi,train/Fight/rwf_train_fight_0110.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,7,8
C029,cluster_0007,V011,V018,train,validation,val/Fight/rwf_val_fight_0086.avi,val/NonFight/rwf_val_nonfight_0094.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,6,8
C030,cluster_0097,V111,V112,train,validation,train/Fight/rwf_train_fight_0377.avi,train/NonFight/rwf_train_nonfight_0431.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,6,8
C031,cluster_0014,V033,V036,train,test,train/Fight/rwf_train_fight_0052.avi,train/NonFight/rwf_train_nonfight_0057.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,5,8
C032,cluster_0014,V035,V036,train,test,train/Fight/rwf_train_fight_0056.avi,train/NonFight/rwf_train_nonfight_0057.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,5,8
C033,cluster_0026,V067,V065,train,test,train/NonFight/rwf_train_nonfight_0124.avi,train/Fight/rwf_train_fight_0113.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,5,8
C034,cluster_0024,V061,V064,train,validation,val/Fight/rwf_val_fight_0186.avi,val/NonFight/rwf_val_nonfight_0184.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,8
C035,cluster_0049,V083,V082,train,test,train/NonFight/rwf_train_nonfight_0121.avi,train/Fight/rwf_train_fight_0111.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,8
C036,cluster_0008,V022,V026,train,validation,train/Fight/rwf_train_fight_0352.avi,train/NonFight/rwf_train_nonfight_0395.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,8
C037,cluster_0008,V022,V025,train,validation,train/Fight/rwf_train_fight_0352.avi,train/NonFight/rwf_train_nonfight_0394.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,8
C038,cluster_0024,V063,V064,train,validation,val/Fight/rwf_val_fight_0188.avi,val/NonFight/rwf_val_nonfight_0184.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,7,8
C039,cluster_0007,V017,V013,train,test,val/NonFight/rwf_val_nonfight_0093.avi,val/Fight/rwf_val_fight_0088.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,8,8
C040,cluster_0019,V043,V045,train,test,train/Fight/rwf_train_fight_0208.avi,train/NonFight/rwf_train_nonfight_0231.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,8
C041,cluster_0008,V024,V020,train,validation,train/NonFight/rwf_train_nonfight_0393.avi,train/Fight/rwf_train_fight_0350.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,7,8
C042,cluster_0021,V050,V047,train,validation,train/NonFight/rwf_train_nonfight_0181.avi,train/Fight/rwf_train_fight_0465.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,7,8
C043,cluster_0026,V067,V066,train,test,train/NonFight/rwf_train_nonfight_0124.avi,train/Fight/rwf_train_fight_0114.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,7,8
C044,cluster_0019,V042,V044,train,validation,train/Fight/rwf_train_fight_0207.avi,train/NonFight/rwf_train_nonfight_0229.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,8,8
C045,cluster_0007,V018,V012,validation,test,val/NonFight/rwf_val_nonfight_0094.avi,val/Fight/rwf_val_fight_0087.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,8
C046,cluster_0017,V040,V038,train,validation,train/NonFight/rwf_train_nonfight_0175.avi,train/Fight/rwf_train_fight_0537.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,6,8
C047,cluster_0017,V040,V037,train,validation,train/NonFight/rwf_train_nonfight_0175.avi,train/Fight/rwf_train_fight_0536.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,4,8
C048,cluster_0142,V122,V123,train,test,train/Fight/rwf_train_fight_0463.avi,train/NonFight/rwf_train_nonfight_0522.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,6,8
C049,cluster_0060,V093,V091,train,validation,train/NonFight/rwf_train_nonfight_0566.avi,train/Fight/rwf_train_fight_0511.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",6,4,8
C050,cluster_0171,V124,V125,train,validation,train/Fight/rwf_train_fight_0064.avi,train/NonFight/rwf_train_nonfight_0067.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",6,4,8
C051,cluster_0014,V034,V036,train,test,train/Fight/rwf_train_fight_0054.avi,train/NonFight/rwf_train_nonfight_0057.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,5,7
C052,cluster_0077,V103,V102,train,test,train/NonFight/rwf_train_nonfight_0564.avi,train/Fight/rwf_train_fight_0509.avi,0,1,0,0,V102,resolved_by_label_correction,Les deux extraits montrent la meme classe apres correction visuelle de V102.,0,7,7
C053,cluster_0128,V117,V116,train,test,train/NonFight/rwf_train_nonfight_0426.avi,train/Fight/rwf_train_fight_0369.avi,0,1,0,0,V116,resolved_by_label_correction,Les deux extraits montrent la meme classe apres correction visuelle de V116.,2,4,7
C054,cluster_0021,V046,V051,train,validation,train/Fight/rwf_train_fight_0464.avi,train/NonFight/rwf_train_nonfight_0182.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,7
C055,cluster_0017,V040,V039,train,test,train/NonFight/rwf_train_nonfight_0175.avi,train/Fight/rwf_train_fight_0539.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,7
C056,cluster_0019,V043,V044,train,validation,train/Fight/rwf_train_fight_0208.avi,train/NonFight/rwf_train_nonfight_0229.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,7
C057,cluster_0052,V088,V086,train,test,train/NonFight/rwf_train_nonfight_0550.avi,train/Fight/rwf_train_fight_0490.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,7
C058,cluster_0007,V015,V018,train,validation,val/Fight/rwf_val_fight_0090.avi,val/NonFight/rwf_val_nonfight_0094.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,7
C059,cluster_0024,V062,V064,train,validation,val/Fight/rwf_val_fight_0187.avi,val/NonFight/rwf_val_nonfight_0184.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,7
C060,cluster_0007,V018,V013,validation,test,val/NonFight/rwf_val_nonfight_0094.avi,val/Fight/rwf_val_fight_0088.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,7
C061,cluster_0006,V010,V008,train,validation,train/NonFight/rwf_train_nonfight_0086.avi,train/Fight/rwf_train_fight_0077.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,6,7
C062,cluster_0007,V014,V018,train,validation,val/Fight/rwf_val_fight_0089.avi,val/NonFight/rwf_val_nonfight_0094.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,4,7
C063,cluster_0060,V091,V092,validation,test,train/Fight/rwf_train_fight_0511.avi,train/NonFight/rwf_train_nonfight_0565.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,5,7
C064,cluster_0074,V100,V101,train,test,train/Fight/rwf_train_fight_0123.avi,train/NonFight/rwf_train_nonfight_0144.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",6,3,7
C065,cluster_0094,V107,V106,train,validation,train/NonFight/rwf_train_nonfight_0254.avi,train/Fight/rwf_train_fight_0234.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,6,6
C066,cluster_0029,V068,V069,train,test,train/Fight/rwf_train_fight_0410.avi,train/NonFight/rwf_train_nonfight_0467.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,6,6
C067,cluster_0001,V005,V003,train,validation,train/NonFight/rwf_train_nonfight_0298.avi,train/Fight/rwf_train_fight_0275.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,6
C068,cluster_0048,V080,V079,train,test,train/NonFight/rwf_train_nonfight_0038.avi,train/Fight/rwf_train_fight_0034.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,6
C069,cluster_0039,V074,V075,train,validation,train/Fight/rwf_train_fight_0473.avi,train/NonFight/rwf_train_nonfight_0533.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,6
C070,cluster_0056,V089,V090,train,test,train/Fight/rwf_train_fight_0016.avi,train/NonFight/rwf_train_nonfight_0013.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,6
C071,cluster_0010,V028,V027,train,validation,train/NonFight/rwf_train_nonfight_0190.avi,train/Fight/rwf_train_fight_0162.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,6
C072,cluster_0095,V109,V110,train,validation,train/Fight/rwf_train_fight_0322.avi,train/NonFight/rwf_train_nonfight_0342.avi,1,0,0,0,V109,resolved_by_label_correction,Les deux extraits montrent la meme classe apres correction visuelle de V109.,2,6,6
C073,cluster_0024,V060,V064,train,validation,val/Fight/rwf_val_fight_0185.avi,val/NonFight/rwf_val_nonfight_0184.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,6
C074,cluster_0061,V094,V095,train,test,train/Fight/rwf_train_fight_0581.avi,train/NonFight/rwf_train_nonfight_0622.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,4,6
C075,cluster_0095,V108,V110,train,validation,train/Fight/rwf_train_fight_0321.avi,train/NonFight/rwf_train_nonfight_0342.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,6,6
C076,cluster_0052,V087,V086,train,test,train/NonFight/rwf_train_nonfight_0548.avi,train/Fight/rwf_train_fight_0490.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,6
C077,cluster_0035,V070,V071,train,test,val/Fight/rwf_val_fight_0110.avi,val/NonFight/rwf_val_nonfight_0109.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,3,6
C078,cluster_0001,V005,V001,train,validation,train/NonFight/rwf_train_nonfight_0298.avi,train/Fight/rwf_train_fight_0270.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,5,6
C079,cluster_0017,V041,V038,train,validation,train/NonFight/rwf_train_nonfight_0176.avi,train/Fight/rwf_train_fight_0537.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,5,6
C080,cluster_0017,V041,V037,train,validation,train/NonFight/rwf_train_nonfight_0176.avi,train/Fight/rwf_train_fight_0536.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,4,6
C081,cluster_0086,V105,V104,train,test,val/NonFight/rwf_val_nonfight_0025.avi,val/Fight/rwf_val_fight_0036.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,2,6
C082,cluster_0006,V009,V008,train,validation,train/NonFight/rwf_train_nonfight_0085.avi,train/Fight/rwf_train_fight_0077.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,4,6
C083,cluster_0021,V048,V051,train,validation,train/Fight/rwf_train_fight_0466.avi,train/NonFight/rwf_train_nonfight_0182.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,2,6
C084,cluster_0140,V120,V121,train,test,train/Fight/rwf_train_fight_0310.avi,train/NonFight/rwf_train_nonfight_0332.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,5,6
C085,cluster_0040,V077,V078,train,validation,train/Fight/rwf_train_fight_0508.avi,train/NonFight/rwf_train_nonfight_0560.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",4,5,6
C086,cluster_0038,V072,V073,train,validation,train/Fight/rwf_train_fight_0231.avi,train/NonFight/rwf_train_nonfight_0249.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",6,2,6
C087,cluster_0065,V096,V097,train,validation,train/Fight/rwf_train_fight_0249.avi,train/NonFight/rwf_train_nonfight_0272.avi,1,0,0,0,V096,resolved_by_label_correction,Les deux extraits montrent la meme classe apres correction visuelle de V096.,8,0,6
C088,cluster_0188,V126,V127,train,validation,val/Fight/rwf_val_fight_0029.avi,val/NonFight/rwf_val_nonfight_0023.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,5,5
C089,cluster_0136,V119,V118,train,test,train/NonFight/rwf_train_nonfight_0799.avi,train/Fight/rwf_train_fight_0763.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,5,5
C090,cluster_0189,V128,V129,train,validation,val/Fight/rwf_val_fight_0070.avi,val/NonFight/rwf_val_nonfight_0072.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,5,5
