model,error_type,dataset,relative_path,video_sha256,true_label,predicted_label,score_violence,confidence_predicted_class,theta,k,wrong_model_count,scene_type_observed,probable_failure_mechanism,taxonomy,inspection_frames_pct,inspection_sheet,interpretation_caveat
lstm_augmented_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0542.avi,841af337c6a77e274928e2177ce5ea6d13893864b4c0e0a780c968e6faf1a194,0,1,0.945132792,0.945132792,0.70,7,4,"CCTV interieur, personnes en circulation",proximite de plusieurs personnes et angle de surveillance; contexte potentiellement surinterprete,contexte_surveillance,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FP,RWF-2000,val/NonFight/rwf_val_nonfight_0034.avi,a56f02bd10fd94e20908aa986a5778884ea1ba4df8fa33199b7c9d06ee1115f6,0,1,0.973199810,0.973199810,0.70,7,4,"commerce, homme gesticulant devant comptoir",gestes amples et flou de mouvement ressemblant a une lutte,gestes_non_violents,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FN,RWF-2000,val/Fight/rwf_val_fight_0006.avi,021500d339b9625e2b458dcb6025c8449ac9eee5d00754f5ede84d4aebd2bd4d,1,0,0.631042651,0.368957349,0.70,7,4,commerce vu d'en haut derriere un comptoir,contact physique partiellement cache par le comptoir et angle distant,occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0057.avi,7c34270f8bcf64ecb444513cac792f261f6c0be1c06bc252bf6e579c2ea1047c,0,1,0.932713296,0.932713296,0.70,7,4,escalier filme par CCTV,deplacement rapide et silhouettes partiellement masquees par l'escalier,mouvement_et_occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FP,RLVS,NonViolence/NV_40.mp4,3b5f8f932def707656fca0eb6bbe2f768740904ad4621604347b5b40a5c7d69b,0,1,0.862354491,0.862354491,0.70,7,4,saut a la perche en stade,mouvement explosif et chute sportive assimiles a une violence,sport,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0444.avi,f59f705ebfbda5e02fc115209fdb780b13b7efbb389dc7a0fe5333a85d904134,1,0,0.556842455,0.443157545,0.70,7,4,"rue nocturne en noir et blanc, plusieurs personnes","plan large, protagonistes petits et faible contraste",plan_large_et_nuit,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0449.avi,ff194ca1f55ec739bb51cfa73e6fa9425bce500e5cf3f7b42a0b0a02753a02ab,0,1,0.936706432,0.936706432,0.70,7,4,rue nocturne filmee par CCTV,faible eclairage et silhouettes proches rendent l'interaction ambigue,faible_eclairage,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FP,RLVS,NonViolence/NV_14.mp4,6fecd99cf9e8028ced6c9ed42e85bb2f2f07f8ec2ebb2331c33b2115089e3fd6,0,1,0.766295348,0.766295348,0.70,7,4,tribune sportive et drapeaux,"foule agitee, bras leves et occlusions entre personnes",foule,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0376.avi,eaacb8f424876a7d3a6de26699f301dbfe1a52f8f73f57ab34d415f6783ba8a9,1,0,0.515646500,0.484353500,0.70,7,4,"rue nocturne en noir et blanc, bandeau televise","protagonistes petits, contraste faible et bandeau graphique intrusif",nuit_et_bandeau,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_augmented_grouped,FN,RLVS,Violence/V_671.mp4,e3db54abdbf3fa357246df6378ad4c90cfc624f8c2314cf0d15476e1e829d7c8,1,0,0.603499996,0.396500004,0.70,7,1,altercation sur terrain de sport,contexte sportif et groupe de joueurs brouillent la distinction sport/bagarre,sport_et_foule,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0542.avi,841af337c6a77e274928e2177ce5ea6d13893864b4c0e0a780c968e6faf1a194,0,1,0.961699522,0.961699522,0.65,5,4,"CCTV interieur, personnes en circulation",proximite de plusieurs personnes et angle de surveillance; contexte potentiellement surinterprete,contexte_surveillance,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FP,RWF-2000,val/NonFight/rwf_val_nonfight_0034.avi,a56f02bd10fd94e20908aa986a5778884ea1ba4df8fa33199b7c9d06ee1115f6,0,1,0.988192940,0.988192940,0.65,5,4,"commerce, homme gesticulant devant comptoir",gestes amples et flou de mouvement ressemblant a une lutte,gestes_non_violents,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FN,RWF-2000,val/Fight/rwf_val_fight_0006.avi,021500d339b9625e2b458dcb6025c8449ac9eee5d00754f5ede84d4aebd2bd4d,1,0,0.401872897,0.598127103,0.65,5,4,commerce vu d'en haut derriere un comptoir,contact physique partiellement cache par le comptoir et angle distant,occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0057.avi,7c34270f8bcf64ecb444513cac792f261f6c0be1c06bc252bf6e579c2ea1047c,0,1,0.887398803,0.887398803,0.65,5,4,escalier filme par CCTV,deplacement rapide et silhouettes partiellement masquees par l'escalier,mouvement_et_occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FP,RLVS,NonViolence/NV_40.mp4,3b5f8f932def707656fca0eb6bbe2f768740904ad4621604347b5b40a5c7d69b,0,1,0.871960318,0.871960318,0.65,5,4,saut a la perche en stade,mouvement explosif et chute sportive assimiles a une violence,sport,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0444.avi,f59f705ebfbda5e02fc115209fdb780b13b7efbb389dc7a0fe5333a85d904134,1,0,0.305674422,0.694325578,0.65,5,4,"rue nocturne en noir et blanc, plusieurs personnes","plan large, protagonistes petits et faible contraste",plan_large_et_nuit,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0449.avi,ff194ca1f55ec739bb51cfa73e6fa9425bce500e5cf3f7b42a0b0a02753a02ab,0,1,0.884010792,0.884010792,0.65,5,4,rue nocturne filmee par CCTV,faible eclairage et silhouettes proches rendent l'interaction ambigue,faible_eclairage,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FP,RLVS,NonViolence/NV_14.mp4,6fecd99cf9e8028ced6c9ed42e85bb2f2f07f8ec2ebb2331c33b2115089e3fd6,0,1,0.957197642,0.957197642,0.65,5,4,tribune sportive et drapeaux,"foule agitee, bras leves et occlusions entre personnes",foule,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_original_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0376.avi,eaacb8f424876a7d3a6de26699f301dbfe1a52f8f73f57ab34d415f6783ba8a9,1,0,0.231076893,0.768923107,0.65,5,4,"rue nocturne en noir et blanc, bandeau televise","protagonistes petits, contraste faible et bandeau graphique intrusif",nuit_et_bandeau,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0542.avi,841af337c6a77e274928e2177ce5ea6d13893864b4c0e0a780c968e6faf1a194,0,1,0.864515322,0.864515322,0.65,10,4,"CCTV interieur, personnes en circulation",proximite de plusieurs personnes et angle de surveillance; contexte potentiellement surinterprete,contexte_surveillance,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FP,RWF-2000,val/NonFight/rwf_val_nonfight_0034.avi,a56f02bd10fd94e20908aa986a5778884ea1ba4df8fa33199b7c9d06ee1115f6,0,1,0.913311285,0.913311285,0.65,10,4,"commerce, homme gesticulant devant comptoir",gestes amples et flou de mouvement ressemblant a une lutte,gestes_non_violents,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FN,RWF-2000,val/Fight/rwf_val_fight_0006.avi,021500d339b9625e2b458dcb6025c8449ac9eee5d00754f5ede84d4aebd2bd4d,1,0,0.430229753,0.569770247,0.65,10,4,commerce vu d'en haut derriere un comptoir,contact physique partiellement cache par le comptoir et angle distant,occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0057.avi,7c34270f8bcf64ecb444513cac792f261f6c0be1c06bc252bf6e579c2ea1047c,0,1,0.738145858,0.738145858,0.65,10,4,escalier filme par CCTV,deplacement rapide et silhouettes partiellement masquees par l'escalier,mouvement_et_occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FP,RLVS,NonViolence/NV_40.mp4,3b5f8f932def707656fca0eb6bbe2f768740904ad4621604347b5b40a5c7d69b,0,1,0.755324466,0.755324466,0.65,10,4,saut a la perche en stade,mouvement explosif et chute sportive assimiles a une violence,sport,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0444.avi,f59f705ebfbda5e02fc115209fdb780b13b7efbb389dc7a0fe5333a85d904134,1,0,0.453530800,0.546469200,0.65,10,4,"rue nocturne en noir et blanc, plusieurs personnes","plan large, protagonistes petits et faible contraste",plan_large_et_nuit,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0449.avi,ff194ca1f55ec739bb51cfa73e6fa9425bce500e5cf3f7b42a0b0a02753a02ab,0,1,0.882227361,0.882227361,0.65,10,4,rue nocturne filmee par CCTV,faible eclairage et silhouettes proches rendent l'interaction ambigue,faible_eclairage,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FP,RLVS,NonViolence/NV_14.mp4,6fecd99cf9e8028ced6c9ed42e85bb2f2f07f8ec2ebb2331c33b2115089e3fd6,0,1,0.955970895,0.955970895,0.65,10,4,tribune sportive et drapeaux,"foule agitee, bras leves et occlusions entre personnes",foule,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0376.avi,eaacb8f424876a7d3a6de26699f301dbfe1a52f8f73f57ab34d415f6783ba8a9,1,0,0.408956414,0.591043586,0.65,10,4,"rue nocturne en noir et blanc, bandeau televise","protagonistes petits, contraste faible et bandeau graphique intrusif",nuit_et_bandeau,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
gru_augmented_grouped,FN,RLVS,Violence/V_634.mp4,61d6f3f4ca09172ecc5c5f186502a244bf71972bd0d9f54a9e4750637b6c154d,1,0,0.587516775,0.412483225,0.65,10,1,altercation dans une galerie commerciale,plan large et mouvements rapides des deux protagonistes,plan_large_et_mouvement,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
